tax_year,tax_district,tif_project_num,tif_project_name,tif_status,tif_start_year,tif_end_year,tif_percentage,parcel_number,library,jnvs,park_dist,city_village,township,school,taxable_luc,tifluc,appraised_land,appraised_impr,appraised_total,assessed_land,assessed_impr,assessed_total,homesite,tax_rate_type,full_rate,reduction_factor,non_business_rate,own_occ_rate,effective_rate,eff_rate_county_gen,eff_rate_children,eff_rate_admh,eff_rate_fcbdd,eff_rate_parks,eff_rate_zoo,eff_rate_senior,eff_rate_library,eff_rate_jnvs,eff_rate_park_dist,eff_rate_city_village,eff_rate_township,eff_rate_schools,eff_rate_cscc,diverted_county_gen,diverted_children,diverted_admh,diverted_fcbdd,diverted_parks,diverted_zoo,diverted_senior,diverted_library,diverted_jnvs,diverted_park_dist,diverted_city_village,diverted_township,diverted_schools,diverted_cscc,diverted_total,tif_total,tif_jvs,tif_city_village,tif_township,tif_schools
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273729-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,138900.00,138900.00,0.00,48620.00,48620.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,40.03,131.90,59.73,190.06,20.36,18.94,35.30,76.24,69.16,0.00,38.94,324.41,0.00,0.00,1005.07,2439.56,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273730-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,96200.00,96200.00,0.00,33670.00,33670.00,No,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,44.55,146.79,66.47,211.50,22.66,21.08,39.28,84.85,76.97,0.00,43.33,358.16,0.00,0.00,1115.64,2712.02,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273731-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,109700.00,109700.00,0.00,38400.00,38400.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,49.39,162.76,73.71,234.52,25.13,23.37,43.55,94.08,85.34,0.00,48.05,400.30,0.00,0.00,1240.20,3010.28,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273732-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,109800.00,109800.00,0.00,38430.00,38430.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,49.43,162.88,73.77,234.70,25.15,23.39,43.59,94.15,85.41,0.00,48.09,400.61,0.00,0.00,1241.17,3012.64,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273733-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,129200.00,129200.00,0.00,45220.00,45220.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,58.16,191.66,86.80,276.18,29.59,27.52,51.29,110.79,100.50,0.00,56.58,471.39,0.00,0.00,1460.46,3544.90,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273734-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,130600.00,130600.00,0.00,45710.00,45710.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,58.79,193.74,87.74,279.16,29.91,27.82,51.85,111.99,101.59,0.00,57.20,476.49,0.00,0.00,1476.28,3583.32,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273735-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,89600.00,89600.00,0.00,31360.00,31360.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,40.34,132.92,60.19,191.52,20.52,19.09,35.57,76.83,69.70,0.00,39.24,326.90,0.00,0.00,1012.82,2458.38,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273736-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,129400.00,129400.00,0.00,45290.00,45290.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,58.26,191.97,86.93,276.60,29.64,27.56,51.37,110.96,100.66,0.00,56.67,472.11,0.00,0.00,1462.73,3550.42,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273737-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,151600.00,151600.00,0.00,53060.00,53060.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,68.25,224.89,101.85,324.06,34.72,32.29,60.18,130.00,117.93,0.00,66.40,553.10,0.00,0.00,1713.67,4159.52,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273738-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,5700.00,130100.00,135800.00,2000.00,45540.00,47540.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,61.15,201.50,91.25,290.34,31.11,28.93,53.92,116.47,105.66,0.00,59.49,495.57,0.00,0.00,1535.39,3726.78,NA,NA,NA,NA
