ParcelNumber,DivertedTownship_2022,DivertedTownship_2023,DivertedTownship_2024,DivertedParks_2022,DivertedParks_2023,DivertedParks_2024,DivertedCityVillage_2022,DivertedCityVillage_2023,DivertedCityVillage_2024,DivertedZoo_2022,DivertedZoo_2023,DivertedZoo_2024,DivertedChildren_2022,DivertedChildren_2023,DivertedChildren_2024,DivertedLibrary_2022,DivertedLibrary_2023,DivertedLibrary_2024,PctChange_Township_22_23,PctChange_Township_23_24
027-000121,1718.09,1669.31,1676.97,137.01,118.08,118.35,248.2,301.71,301.71,78.38,67.55,67.71000000000001,545.87,470.41999999999996,598.4399999999999,314.41999999999996,486.40999999999997,487.62,-2.8,0.5
027-000122,1571.28,1816.01,1824.33,125.31,128.45000000000002,128.75,226.99,328.21999999999997,328.21999999999997,71.67999999999999,73.48,73.66,499.22999999999996,511.76,651.03,287.55,529.16,530.48,15.6,0.5
027-000123,1408.58,1469.42,1476.1599999999999,112.33,103.94000000000001,104.17999999999999,203.48000000000002,265.58,265.58,64.26,59.46,59.6,447.53,414.09,526.7900000000001,257.77,428.17,429.24,4.3,0.5
027-000124,1911.99,1744.44,1752.44,152.48000000000002,123.39,123.67999999999999,276.21,315.28999999999996,315.28999999999996,87.23,70.59,70.75,607.48,491.59,625.38,349.9,508.3,509.57,-8.8,0.5
027-000125,1602.6799999999998,1682.8899999999999,1690.61,127.81,119.04,119.31,231.52,304.16,304.16,73.11999999999999,68.1,68.26,509.2,474.25,603.31,293.3,490.37,491.59,5,0.5
027-000126,1832.52,1376.32,1382.62,146.14,97.35,97.58,264.72999999999996,248.75,248.75,83.6,55.690000000000005,55.82,582.22,387.85,493.40999999999997,335.36,401.04,402.04,-24.9,0.5
027-000127,1850.1,1574.07,1581.28,147.54,111.34,111.6,267.26,284.5,284.5,84.4,63.690000000000005,63.839999999999996,587.81,443.58,564.2900000000001,338.57,458.66,459.8,-14.9,0.5
027-000128,1894.72,1600.02,1607.36,151.1,113.17999999999999,113.44000000000001,273.71999999999997,289.19,289.19,86.44000000000001,64.75,64.9,601.98,450.9,573.61,346.74,466.22999999999996,467.39,-15.6,0.5
027-000129,1641.3799999999999,1537.29,1544.33,130.9,108.74000000000001,108.99000000000001,237.12,277.85,277.85,74.88,62.21,62.349999999999994,521.5,433.21,551.12,300.38,447.94,449.06,-6.3,0.5
027-000130,2045.78,1864.3799999999999,1896.85,163.15,131.87,132.18,295.53,336.96999999999997,346.59,93.33,75.44000000000001,77.78,649.98,525.4,683.42,374.38,543.26,553.11,-8.9,1.7
027-000131,1453.51,1368.6599999999999,1369.93,115.91000000000001,96.81,96.67999999999999,209.98000000000002,247.37,246.47,66.31,55.379999999999995,55.309999999999995,461.81,385.69,488.88,265.98999999999995,398.81,398.35,-5.8,0.1
027-000132,1770.32,1860.1899999999998,1868.73,141.18,131.58,131.88000000000002,255.73999999999998,336.21,336.21,80.76,75.27,75.45,562.4599999999999,524.21,666.88,323.96999999999997,542.03,543.39,5.1,0.5
027-000133,1944.48,1750.83,1758.87,155.07,123.84,124.13,280.9,316.44,316.44,88.71000000000001,70.85,71.01,617.7900000000001,493.39,627.66,355.85,510.17,511.44,-10,0.5
027-000134,1963.83,1468.8799999999999,1475.62,156.60999999999999,103.9,104.14,283.69,265.47999999999996,265.47999999999996,89.59,59.44,59.58,623.9499999999999,413.92999999999995,526.58,359.39,428.01,429.08,-25.2,0.5
027-000135,1699.53,2094.72,2104.3300000000004,135.53,148.17,148.51,245.52,378.6,378.6,77.53,84.76,84.96000000000001,539.97,590.31,750.9599999999999,311.02,610.37,611.89,23.3,0.5
027-000136,2072.72,2044.7,2054.07,165.29,144.63,144.97,299.42999999999995,369.56,369.56,94.56,82.74000000000001,82.93,658.54,576.2,733.02,379.32,595.8,597.2800000000001,-1.4,0.5
027-000137,1598.53,1656.92,1664.52,127.48,117.2,117.47,230.92000000000002,299.46999999999997,299.46999999999997,72.93,67.05,67.2,507.88,466.92999999999995,594.01,292.54,482.81,484.01,3.7,0.5
027-000138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
027-000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
